file,channel,window,mean,variance,skewness,kurtosis,rms,zero_crossing_rate,delta_power,theta_power,alpha_power,beta_power,gamma_power,spectral_entropy
1000913311.parquet,Fp1,0,0.27631292023918624,3.3509805323271564,-0.3198420294034295,-1.0285463950636269,1.851304772915109,0.0225,4.062483600987889,0.07523958334716899,0.019779037102189655,0.16814278432478524,0.021713052449292367,-0.6626010198787747
1000913311.parquet,Fp1,1,0.12777926733894532,1.6011494559076906,-0.24688902469556148,-0.34999424541782487,1.2718006907803472,0.04,1.8944797585604038,0.03442599849992517,0.027387680422621834,0.14371455787036114,0.025518245394204202,1.9099446345939046
1000913311.parquet,Fp1,2,-0.07782130932276132,0.7913374479589558,0.2979126038928336,-0.2565929578582886,0.8929689827444539,0.08,0.7519811015995066,0.138187337978607,0.03205830618399722,0.13664402699012004,0.02604974592229737,2.816732627867215
1000913311.parquet,Fp1,3,-0.015051018096667486,0.622526343468826,-0.5979077809083148,0.7274400248938453,0.7891469296744251,0.0625,0.5369240906585112,0.08073890401807624,0.07304050044065105,0.15730726413802829,0.01893341100126901,2.625938819861072
1000913311.parquet,Fp1,4,0.037131791541308766,0.4523994821479833,0.6246614541197639,1.4438901961605888,0.6736306496078177,0.0975,0.3453211554919372,0.040181371265010826,0.031404051016696216,0.19934666542649293,0.046996200083779166,2.4461603720744876
1000913311.parquet,Fp1,5,-0.06345438579912323,0.3273430279572757,0.6130509074053698,1.4252785684040745,0.5756470160040957,0.1175,0.20484594944855897,0.01822242663556916,0.03332684397974221,0.2008026815892361,0.03905137287260862,2.007557630666937
1000913311.parquet,Fp1,6,0.05212997495037685,0.3304673238183982,0.5058691186966852,2.2619194725189233,0.5772216715497827,0.0925,0.2120417582539561,0.026317240633595515,0.02734361993302495,0.17708235481187715,0.027344484314130495,1.8389787680574081
1000913311.parquet,Fp1,7,-0.09115629152981178,0.4058506026867023,0.8356530439186823,3.207943568011915,0.6435526957228681,0.1275,0.13018522936557766,0.03285996712160073,0.040604604589937726,0.2343288665513165,0.023868176450065816,2.0618034703310957
1000913311.parquet,Fp1,8,0.0783514489407316,0.5100517571777499,0.08621167299320007,0.06188465743669003,0.7184641304399699,0.1175,0.38082403518081487,0.044196808128502935,0.024868498733486115,0.24645467667847842,0.047373319375492384,2.48316936329726
1000913311.parquet,Fp1,9,-0.033011217477130345,0.8908202768498592,-0.6247412694804497,1.3722017517866822,0.94440987782275,0.09,1.0369813657121294,0.1177441901417262,0.044613011444769354,0.29714564004188504,0.042720088706348906,3.4494510848113125
1000913311.parquet,Fp1,10,0.010172949707531433,3.0334765951214924,-0.7820560022393037,0.767094998816467,1.741717567238513,0.0325,5.002495623573186,0.12065357170447188,0.06180056428975331,0.24164901814785442,0.04291810487159383,-0.1313500623877771
1000913311.parquet,Fp1,11,-0.06294615493194204,0.741343268771431,0.6190835975998057,1.8805253638059938,0.8633107709232793,0.0875,0.6250838991919929,0.054049853780375495,0.05324032393172396,0.2652856295733419,0.043805138520444965,3.008857525884394
1000913311.parquet,Fp1,12,-0.017175790447399874,0.5445720857928105,0.10111195731077657,0.41071790151993026,0.738151131930517,0.12,0.3017396520768004,0.030897068361589897,0.08458892837996905,0.2334085738662172,0.04548170837219822,2.590454056339919
1000913311.parquet,Fp1,13,0.07187517500686791,0.5546314313649197,0.7352090049429665,1.8408483783986478,0.7481961455040967,0.145,0.2333210801538327,0.12312715603108981,0.07380400110724426,0.22699367645229898,0.03675706394304019,2.644222321249436
1000913311.parquet,Fp1,14,-0.07041494593178407,0.5172723148825491,1.2198719702471013,4.488687856959438,0.7226552286485757,0.1075,0.2685413634934507,0.04960076296034239,0.11447394425660004,0.3226321850726033,0.042711908125802535,2.945172191293343
