file,channel,window,mean,variance,skewness,kurtosis,rms,zero_crossing_rate,delta_power,theta_power,alpha_power,beta_power,gamma_power,spectral_entropy,label
1000913311.parquet,Fp1,0,0.2763129202391862,3.3509805323271564,-0.3198420294034295,-1.0285463950636269,1.851304772915109,0.0225,4.062483600987889,0.0752395833471689,0.0197790371021896,0.1681427843247852,0.0217130524492923,-0.6626010198787747,0
1000913311.parquet,Fp1,1,0.1277792673389453,1.6011494559076906,-0.2468890246955614,-0.3499942454178248,1.2718006907803472,0.04,1.894479758560404,0.0344259984999251,0.0273876804226218,0.1437145578703611,0.0255182453942042,1.9099446345939048,1
1000913311.parquet,Fp1,2,-0.0778213093227613,0.7913374479589558,0.2979126038928336,-0.2565929578582886,0.8929689827444539,0.08,0.7519811015995066,0.138187337978607,0.0320583061839972,0.13664402699012,0.0260497459222973,2.816732627867215,0
1000913311.parquet,Fp1,3,-0.0150510180966674,0.622526343468826,-0.5979077809083148,0.7274400248938453,0.7891469296744251,0.0625,0.5369240906585112,0.0807389040180762,0.073040500440651,0.1573072641380282,0.018933411001269,2.625938819861072,0
1000913311.parquet,Fp1,4,0.0371317915413087,0.4523994821479833,0.6246614541197639,1.4438901961605888,0.6736306496078177,0.0975,0.3453211554919372,0.0401813712650108,0.0314040510166962,0.1993466654264929,0.0469962000837791,2.446160372074488,0
1000913311.parquet,Fp1,5,-0.0634543857991232,0.3273430279572757,0.6130509074053698,1.4252785684040743,0.5756470160040957,0.1175,0.2048459494485589,0.0182224266355691,0.0333268439797422,0.2008026815892361,0.0390513728726086,2.007557630666937,1
1000913311.parquet,Fp1,6,0.0521299749503768,0.3304673238183982,0.5058691186966852,2.261919472518924,0.5772216715497827,0.0925,0.2120417582539561,0.0263172406335955,0.0273436199330249,0.1770823548118771,0.0273444843141304,1.838978768057408,0
1000913311.parquet,Fp1,7,-0.0911562915298117,0.4058506026867023,0.8356530439186823,3.207943568011915,0.6435526957228681,0.1275,0.1301852293655776,0.0328599671216007,0.0406046045899377,0.2343288665513165,0.0238681764500658,2.061803470331096,0
1000913311.parquet,Fp1,8,0.0783514489407316,0.5100517571777499,0.0862116729932,0.06188465743669,0.7184641304399699,0.1175,0.3808240351808148,0.0441968081285029,0.0248684987334861,0.2464546766784784,0.0473733193754923,2.48316936329726,0
1000913311.parquet,Fp1,9,-0.0330112174771303,0.8908202768498592,-0.6247412694804497,1.3722017517866822,0.94440987782275,0.09,1.0369813657121294,0.1177441901417262,0.0446130114447693,0.297145640041885,0.0427200887063489,3.4494510848113125,1
